Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status,Timestamp,MagnitudeLevel,Distance_km
03/22/1965,02:44:49,-15.262,-173.254,Earthquake,30.5,,,6,MW,,,,,,,ISCGEM858772,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-22T02:44:49.000+05:30,Moderate,18163.25
03/22/1965,22:56:27,-31.974,-71.573,Earthquake,48.8,,,6,MW,,,,,,,ISCGEM858793,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-22T22:56:27.000+05:30,Moderate,8278.056
03/23/1965,23:54:05,-15.382,-173.194,Earthquake,25.0,,,6,MW,,,,,,,ISCGEM858819,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-23T23:54:05.000+05:30,Moderate,18148.441
03/24/1965,22:42:12,8.418,126.553,Earthquake,55.0,,,5,MW,,,,,,,ISCGEM858845,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-24T22:42:12.000+05:30,Moderate,14021.3125
03/28/1965,13:23:01,55.26,161.904,Earthquake,40.0,,,5,MW,,,,,,,ISCGEM858938,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-28T13:23:01.000+05:30,Moderate,13654.424
03/28/1965,16:33:16,-32.522,-71.233,Earthquake,70.0,,,7,MW,,,,,,,ISCGEM858940,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-28T16:33:16.000+05:30,High,8257.353
03/29/1965,10:47:38,40.687,142.915,Earthquake,30.0,,,6,MW,,,,,,,ISCGEM858966,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-29T10:47:38.000+05:30,Moderate,14146.51
03/30/1965,00:21:00,-20.502,-173.701,Earthquake,20.0,,,5,MW,,,,,,,ISCGEM858978,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-30T00:21:00.000+05:30,Moderate,17634.633
03/30/1965,02:27:06,50.282,177.959,Earthquake,20.0,,,7,MW,,,,,,,ISCGEM858982,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-30T02:27:06.000+05:30,High,14420.627
03/31/1965,09:47:31,38.365,22.405,Earthquake,75.0,,,6,MW,,,,,,,ISCGEM859094,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-31T09:47:31.000+05:30,Moderate,4841.5044
04/01/1965,07:08:37,9.986,125.896,Earthquake,60.0,,,5,MW,,,,,,,ISCGEMSUP857323,ISCGEMSUP,ISCGEM,ISCGEM,Automatic,1965-04-01T07:08:37.000+05:30,Moderate,13929.412
